,City,Cloudiness,Country,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Albany,100,US,47,42.6,-73.97,51.01,1.99
1,Ushuaia,75,AR,29,-54.8,-68.3,66.2,10.29
2,Rikitea,3,PF,63,-23.12,-134.97,72.97,3.76
3,Bethel,1,US,44,41.37,-73.41,60.8,5.82
4,Barrow,1,US,85,71.29,-156.79,10.4,12.75
5,Itarema,27,BR,62,-2.92,-39.92,85.55,15.73
6,Touros,75,BR,58,-5.2,-35.46,86.0,14.99
7,Avarua,100,CK,100,-21.21,-159.78,75.2,2.24
8,Bengkulu,100,ID,90,-3.8,102.27,76.8,8.41
9,Punta Arenas,0,CL,48,-53.15,-70.92,60.8,17.22
10,Hobart,90,AU,72,-42.88,147.33,59.0,6.93
11,Hong Kong,45,HK,88,22.29,114.16,73.99,1.99
12,Mataura,99,NZ,79,-46.19,168.86,48.99,7.0
13,Rafaela,31,AR,19,-31.25,-61.49,91.11,7.85
14,Yellowknife,20,CA,83,62.46,-114.35,-9.0,10.29
15,Ilulissat,40,GL,67,69.22,-51.1,23.0,18.34
16,Provideniya,100,RU,96,64.38,-173.3,29.44,23.64
17,Busselton,33,AU,93,-33.65,115.33,53.01,9.1
18,Ribeira Grande,20,PT,68,38.52,-28.7,68.0,6.93
19,Kapaa,90,US,78,22.08,-159.32,77.0,21.92
20,Robertsport,2,LR,77,6.75,-11.37,80.82,10.07
21,Guerrero Negro,0,MX,50,27.98,-114.06,75.02,12.53
22,Jamestown,90,US,74,42.1,-79.24,41.0,9.17
23,Collie,36,AU,83,-33.37,116.15,53.01,5.79
24,Dire Dawa,42,ET,54,9.59,41.87,62.44,2.37
25,Kaeo,64,NZ,95,-35.1,173.78,52.0,7.18
26,Dandong,100,CN,91,40.13,124.39,29.48,12.95
27,Meulaboh,100,ID,95,4.14,96.13,73.58,6.13
28,La Ronge,37,CA,84,55.1,-105.28,8.6,3.36
29,Santiago de Cao,87,PE,72,-7.96,-79.24,68.0,17.22
30,Port Macquarie,88,AU,94,-31.43,152.92,66.0,2.39
31,Naryan-Mar,35,RU,96,67.67,53.09,24.96,8.41
32,Saint George,0,US,35,37.1,-113.58,57.0,2.3
33,Hermanus,86,ZA,84,-34.42,19.23,64.0,4.0
34,Hithadhoo,96,MV,77,-0.6,73.08,82.65,9.93
35,Saint-Philippe,0,RE,64,-21.36,55.77,75.2,3.36
36,Chui,52,UY,52,-33.7,-53.46,68.68,10.02
37,Bathsheba,40,BB,66,13.22,-59.52,86.0,25.28
38,Te Anau,83,NZ,87,-45.42,167.72,42.96,2.42
39,Puerto del Rosario,0,ES,60,28.5,-13.86,73.4,8.05
40,Hilo,90,US,88,19.73,-155.09,73.4,4.7
41,Lorengau,100,PG,83,-2.02,147.27,79.52,4.41
42,Gillette,1,US,43,44.29,-105.5,36.0,10.29
43,Cabo San Lucas,5,MX,33,22.89,-109.91,87.01,4.7
44,Jalu,48,LY,57,29.03,21.55,64.71,8.41
45,Piltene,90,LV,93,57.22,21.67,42.8,27.51
46,Antalaha,0,MG,83,-14.9,50.28,73.78,3.0
47,Grand Gaube,36,MU,72,-20.01,57.66,73.99,4.0
48,Butaritari,93,KI,77,3.07,172.79,81.59,16.28
49,South Kazakhstan Region,53,KZ,81,43.0,68.0,25.3,5.95
50,Port Elizabeth,0,ZA,49,-33.92,25.57,73.4,17.22
51,Airai,18,TL,99,-8.93,125.41,61.2,1.74
52,Karratha,36,AU,66,-20.74,116.85,75.38,4.05
53,Kloulklubed,52,PW,71,7.04,134.26,83.17,6.17
54,Thompson,75,CA,85,55.74,-97.86,10.4,5.82
55,Auki,51,SB,84,-8.77,160.7,77.49,4.18
56,Tatvan,83,TR,80,38.51,42.28,37.36,4.07
57,Castro,47,BR,53,-24.79,-50.01,72.28,5.99
58,Lavrentiya,100,RU,92,65.58,-171.0,26.85,18.63
59,Itoman,75,JP,73,26.12,127.67,73.4,3.36
60,Vila Velha,40,BR,61,-20.33,-40.29,81.0,14.99
61,Qaanaaq,91,GL,91,77.48,-69.36,5.45,1.7
62,Zhuanghe,100,CN,66,39.7,122.99,30.0,5.99
63,Ampanihy,2,MG,77,-24.7,44.75,66.36,14.61
64,Fort Nelson,20,CA,75,58.81,-122.7,-16.6,2.24
65,Khatanga,100,RU,98,71.97,102.5,22.69,13.8
66,Qian’an,33,CN,87,44.99,124.06,8.87,6.69
67,Anadyr,40,RU,80,64.75,177.48,30.2,26.84
68,Arraial do Cabo,75,BR,61,-22.97,-42.03,77.0,6.93
69,Port Alfred,74,ZA,60,-33.59,26.89,74.86,14.32
70,Ola,96,RU,85,59.58,151.28,2.37,10.2
71,Labuhan,90,ID,77,-6.88,112.21,81.81,2.66
72,Mbandaka,86,CD,81,0.05,18.26,76.08,1.3
73,Nantucket,1,US,55,41.28,-70.1,64.4,8.05
74,Mar del Plata,40,AR,68,-38.0,-57.56,71.6,17.22
75,Atar,100,MR,17,20.52,-13.05,82.49,8.61
76,Lompoc,1,US,54,34.64,-120.46,59.0,4.7
77,Chifeng,95,CN,90,42.27,118.96,9.9,3.49
